CADENA ;LABORATORIO ;DISTRIBUIDORA
MARCELLINO - TRF ;BAGO S.A.;DISPROFARMA S.A.
;MONTPELLIER S.A.;DISPROFARMA S.A.
;ELEA S.A.;DISPROFARMA S.A.
;MONTE VERDE S.A.;ROFINA S.A.I.C.F.
;BALIARDA S.A.;
;CASASCO S.A.;FARMANET S.A.
;GADOR S.A.;FARMANET S.A.
;;
DEL SUBNIVEL - TRF;BAGO S.A.;DISPROFARMA S.A.
;MONTPELLIER S.A.;DISPROFARMA S.A.
;ELEA S.A.;DISPROFARMA S.A.
;MONTE VERDE S.A.;ROFINA S.A.I.C.F.
;BALIARDA S.A.;
;CASASCO S.A.;FARMANET S.A.
;GADOR S.A.;FARMANET S.A.
;;
NUEVA VILLA - DROGUERIA;ELEA S.A.;DISPROFARMA S.A.
;BAGO S.A.;DISPROFARMA S.A.
;ASPEN ARGENTINA S.A;DISPROFARMA S.A.
;PFIZER S.R.L.;DISPROFARMA S.A.
;BALIARDA S.A.;
;CASASCO S.A.;FARMANET S.A.
;GADOR S.A.;FARMANET S.A.
;MONTE VERDE S.A.;ROFINA S.A.I.C.F.
;MEGALABS ARGENTINA S.A.U;ROFINA S.A.I.C.F.
;ASTRAZENECA;ASTRAZENECA
;GSK BIOPHARMA ARGENTINA S.A.;GLOBAL FARM S.A.
;;
SANCHEZ ANTONIOLLI IX;ELEA S.A.;DISPROFARMA S.A.
;BAGO S.A.;DISPROFARMA S.A.
;ASPEN ARGENTINA S.A;DISPROFARMA S.A.
;PFIZER S.R.L.;DISPROFARMA S.A.
;BALIARDA S.A.;
;CASASCO S.A.;FARMANET S.A.
;GADOR S.A.;FARMANET S.A.
;MONTE VERDE S.A.;ROFINA S.A.I.C.F.
;MEGALABS ARGENTINA S.A.U;ROFINA S.A.I.C.F.
;ASTRAZENECA;ASTRAZENECA
;GSK BIOPHARMA ARGENTINA S.A.;GLOBAL FARM S.A.
;;
DROGUERIA LIDER - TRF;ASPEN ARGENTINA S.A;DISPROFARMA S.A.
;ASTRAZENECA;ASTRAZENECA
;BALIARDA S.A.;
;PFIZER S.R.L.;DISPROFARMA S.A.
;;
GRASSI SUC V TRANSFERS;ASPEN ARGENTINA S.A;DISPROFARMA S.A.
;BAGO S.A.;DISPROFARMA S.A.
;PFIZER S.R.L.;DISPROFARMA S.A.
;CASASCO S.A.;FARMANET S.A.
;GADOR S.A.;FARMANET S.A.
;MONTE VERDE S.A.;ROFINA S.A.I.C.F.
;BALIARDA S.A.;
;ASTRAZENECA;ASTRAZENECA
;;
HOSPITAL PRIVADO DROGUERIA (MED REP TARDE);BAGO S.A.;DISPROFARMA S.A.
;CASASCO S.A.;FARMANET S.A.
;POEN S.A.C.I.;ROFINA S.A.I.C.F.
;TEVA ARGENTINA;DISPROFARMA S.A.
;;
MARISA DI CARLO - MEDICARLO;ASPEN ARGENTINA S.A;DISPROFARMA S.A.
;BAGO S.A.;DISPROFARMA S.A.
;ELEA S.A.;DISPROFARMA S.A.
;CASASCO S.A.;FARMANET S.A.
;GADOR S.A.;FARMANET S.A.
;GSK BIOPHARMA ARGENTINA S.A.;GLOBAL FARM S.A.
;BALIARDA S.A.;
;;
RED COLON - TRF;ASPEN ARGENTINA S.A;DISPROFARMA S.A.
;PFIZER S.R.L.;DISPROFARMA S.A.
;BALIARDA S.A.;
;;
RED PERSCE DROGUERIA - TRF;ASPEN ARGENTINA S.A;DISPROFARMA S.A.
;PFIZER S.R.L.;DISPROFARMA S.A.
;BALIARDA S.A.;
;;
ESTRELLA DOCTA;ASPEN ARGENTINA S.A;DISPROFARMA S.A.
;ASTRAZENECA;ASTRAZENECA
;BAGO S.A.;DISPROFARMA S.A.
;BALIARDA S.A.;
;CASASCO S.A.;FARMANET S.A.
;ELEA S.A.;DISPROFARMA S.A.
;GADOR S.A.;FARMANET S.A.
;PFIZER S.R.L.;DISPROFARMA S.A.
;;
DEL SUD S.A.;ASTRAZENECA;ASTRAZENECA
;;
VIGLIOCCO - 9 DE JULIO;ASTRAZENECA;ASTRAZENECA
;BALIARDA S.A.;
;CASASCO S.A.;FARMANET S.A.
;FINADIET SACIFI;ROFINA S.A.I.C.F.
;POEN S.A.C.I.;ROFINA S.A.I.C.F.
;;
SAN ISIDRO;ELEA S.A.;DISPROFARMA S.A.
;;
FARMAFERRI;CASASCO S.A.;FARMANET S.A.
;;
SINDICAL SUTIAGA 3;TODOS LOS LABORATORIOS ;
;;
TRAFUL;MONTE VERDE S.A.;ROFINA S.A.I.C.F.
;;
PODESTA - TRF;MONTE VERDE S.A.;ROFINA S.A.I.C.F.
;;
"SVFARMA - ALTA CORDOBA (SV1)	";ASPEN ARGENTINA S.A;DISPROFARMA S.A.
;BAGO S.A.;DISPROFARMA S.A.
;BALIARDA S.A.;
;BAUSCH & LOMB ARGENTINA S.R.L.;FARMANET S.A.
;BETA S.A.I.C.A.;DISPROFARMA S.A.
;CASASCO S.A.;FARMANET S.A.
;ELEA S.A.;DISPROFARMA S.A.
;GADOR S.A.;FARMANET S.A.
;GSK BIOPHARMA ARGENTINA S.A.;GLOBAL FARM S.A.
;MAX VISION SRL;ROFINA S.A.I.C.F.
;MONTE VERDE S.A.;ROFINA S.A.I.C.F.
;PFIZER S.R.L.;DISPROFARMA S.A.
;;
SARMIENTO I - TRF;ASPEN ARGENTINA S.A;DISPROFARMA S.A.
;ASTRAZENECA;ASTRAZENECA
;BAGO S.A.;DISPROFARMA S.A.
;BALIARDA S.A.;
;CASASCO S.A.;FARMANET S.A.
;ELEA S.A.;DISPROFARMA S.A.
;GADOR S.A.;FARMANET S.A.
;MONTE VERDE S.A.;ROFINA S.A.I.C.F.
;PFIZER S.R.L.;DISPROFARMA S.A.
;;
DIFARMA SALUD II;ASPEN ARGENTINA S.A;DISPROFARMA S.A.
;ASTRAZENECA;ASTRAZENECA
;BAGO S.A.;DISPROFARMA S.A.
;BALIARDA S.A.;
;CASASCO S.A.;FARMANET S.A.
;ELEA S.A.;DISPROFARMA S.A.
;GADOR S.A.;FARMANET S.A.
;PFIZER S.R.L.;DISPROFARMA S.A.
;;
ALVEAR S.A.;TODOS LOS LABORATORIOS ;
